timestamp,netAmount0,netAmount1,closeTick,openTick,lowestTick,highestTick,inAmount0,inAmount1,currentLiquidity
2023-04-22 00:43:00,-15721243826028923486,29070535207,-201100,-201102,-201102,-201100,95060386277468586,29246152670,7670276855325065807
2023-04-22 00:44:00,180836019178280221,-333859028,-201100,-201100,-201100,-201100,301152969937075714,222499108,7670276855325065807
2023-04-22 00:45:00,4347706601723665623,-8031868820,-201100,-201100,-201101,-201100,4347706601723665623,0,7670276855325065807
2023-04-22 00:46:00,-27212104929108156644,50328136500,-201098,-201101,-201101,-201098,150000000000000000,50605236503,7690813508289907951
2023-04-22 00:47:00,-732672420367087497,1355270112,-201098,-201098,-201098,-201098,3104556740911767,1361007053,7690813508289907951
2023-04-22 00:48:00,-1007557796008792439,1863790927,-201098,-201098,-201098,-201098,20475926489022108,1901629091,7690813508289907951
2023-04-22 00:49:00,19996598375503646825,-36944755290,-201100,-201098,-201100,-201097,21894000000000000000,3509819026,7689774421331508205
2023-04-22 00:50:00,20482909133802584457,-37838232828,-201100,-201100,-201102,-201100,20484780474958981235,3460000,7689774421331508205
2023-04-22 00:51:00,6128728920176852622,-11319846055,-201103,-201102,-201103,-201102,6177360150070336074,89910000,7548857319625852817
2023-04-22 00:52:00,27425347670919763740,-50645274017,-201106,-201103,-201106,-201103,27667512564599976830,447700000,7548857319625852817
2023-04-22 00:53:00,27982451059524181815,-51658164576,-201109,-201106,-201109,-201106,28012553806001379633,55636391,7549216608799761887
2023-04-22 00:54:00,12319135682348548598,-22725082107,-201109,-201109,-201111,-201109,18805452009737042697,11982313397,7549216608799761887
2023-04-22 00:55:00,-27010941806044550812,49908195231,-201107,-201110,-201110,-201107,533514640112838664,50892821197,7698911126666114182
2023-04-22 00:56:00,-47085237632732348987,87039333930,-201102,-201107,-201107,-201102,2990809948731173286,92563619688,7700315152765500377
2023-04-22 00:57:00,7161301101245876990,-13226724472,-201102,-201102,-201103,-201102,7247844627958384407,160000000,7700315152765500377
2023-04-22 00:58:00,54097732112196778352,-99883011017,-201109,-201104,-201109,-201104,54681917126909369723,1079368279,7703868246416348878
2023-04-22 00:59:00,-1367953994695105460,2528204403,-201109,-201109,-201109,-201109,367799196923899719,3207102429,7703868246416348878
2023-04-22 01:00:00,4398098011269551374,-8116327289,-201109,-201109,-201109,-201109,5286741919401967622,1641930288,7850717851194883672
2023-04-22 01:01:00,6441550257667594407,-11886109980,-201110,-201109,-201110,-201109,8032948199094567867,2940026996,7855907603665725286
2023-04-22 01:02:00,-67032669983308794876,123888499072,-201110,-201110,-201110,-201103,1445591954414134926,126556696163,7855907603665725286
2023-04-22 01:03:00,-43812796188034552273,81021248283,-201098,-201102,-201102,-201098,0,81021248283,8006641298236057203
2023-04-22 01:04:00,-13008129756119899077,24064738115,-201098,-201098,-201098,-201096,1060000000000000000,26023710950,8006641298236057203
2023-04-22 01:05:00,-214213324701795078,396360667,-201097,-201097,-201097,-201097,40622340089211365,471435230,8031863949264162496
2023-04-22 01:06:00,-9659637421197713172,17871249414,-201096,-201097,-201097,-201096,209000000000000000,18257543635,8031863949264162496
2023-04-22 01:07:00,74110397366556990921,-136923303902,-201104,-201096,-201104,-201096,74433323142164124910,597099797,7891551284835520105
2023-04-22 01:08:00,49175896586446541937,-90793626558,-201109,-201104,-201109,-201104,49936533242359103142,1405506865,7891551284835520105
2023-04-22 01:09:00,-579909606561723660,1071975840,-201109,-201109,-201109,-201109,261021339666114359,1553782491,7951504712593140598
2023-04-22 01:10:00,-7490911308687681627,13853296217,-201109,-201109,-201109,-201108,6390000000000000000,25648088187,7951504712593140598
2023-04-22 01:11:00,403894155741282210,-745586551,-201108,-201108,-201108,-201108,403894155741282210,0,7951504712593140598
2023-04-22 01:12:00,-13980595375822882152,25836987707,-201107,-201108,-201108,-201107,627912338170718373,26996200256,7966636508167548363
2023-04-22 01:13:00,-158431371307711678,293288979,-201107,-201107,-201107,-201107,264666503737554229,781933942,7966636508167548363
2023-04-22 01:14:00,81973293596123731,-150736329,-201107,-201107,-201107,-201107,411386961095168781,608794433,7983321301859002461
2023-04-22 01:15:00,5698087781330172,-10487358,-201107,-201107,-201107,-201107,23479751360303788,32862618,7983321301859002461
2023-04-22 01:16:00,30783666158169896492,-56825085692,-201110,-201107,-201110,-201107,31075936000582171669,540028959,8030279770740683312
2023-04-22 01:17:00,10200295998675438917,-18825279886,-201111,-201110,-201111,-201110,10200295998675438917,0,8002239895846056101
2023-04-22 01:18:00,-70512200860433128306,130382098867,-201103,-201111,-201115,-201103,40709926596333217883,205494566511,8039054808591862186
2023-04-22 01:19:00,-51192035154193553585,94668283355,-201098,-201103,-201103,-201098,1973180108500815682,98313787095,8179367473020504577
